DATA_OWNER,COUNTRY,LOCATION_NAME,REGION,AREA,AREA_NAME,ABC_SITE,TOP_TIER_SITE,SITE_PARENT_ID,SITE_PARENT_NAME,GEO_WATERBODY,SITE_ID,SITE_NAME,SHREVE_LINK_NO,DS_SHREVE_LINK_NO,ALTITUDE_M,CATCHMENT_AREA_US_KM2,DISTANCE_TO_SOURCE_KM,DISTANCE_TO_TIDAL_LIMIT_KM,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,AGE_BAND,RUN_1,RUN_2,RUN_3,RUN_4,RUN_5,RUN_6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Environment Agency,England,Thames West,South East,West Thames,West Thames,THAMES/RIVER KENNET/MIDDLE CUT D/S DUFFERS POOL - WILDERNESS/,Thames,7214,River Kennet,GB106039023172,29584,Middle Cut d/s Duffers Pool - Wilderness,30,31,90.00,505.40,51.154,184.864,110159,26-02-2008,2008,SU3941167722,439411,167722,75.00,7.20,540,7.20,540,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,413420,111,Brown / sea trout,Salmo trutta,>1+,0,,,,,,0,,,,,Completed,No,No,03-03-2008 11:04:45
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER DON CATCHMENT/RIVER LOXLEY/RIVER RIVELIN/COPPICE COTTAGES/,River Don catchment,4324,River Rivelin,GB104027057340,14127,Coppice Cottages,14,64,128.00,23.37,10.367,121.995,109431,01-08-2003,2003,SK3042387494,430423,387494,45.00,4.50,203,4.50,203,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,410991,111,Brown / sea trout,Salmo trutta,>1+,0,0,0,,,,0,0,0,0,0,Completed,No,No,06-02-2008 11:49:34
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER RIBBLE/GAYLE BECK/PTC CAM BECK AT BLACK HILL/,River Ribble,7590,Gayle Beck,GB112071071590,31276,PTC Cam Beck at Black Hill,,,250.00,,11.305,110.010,114450,02-09-1992,1992,SD7850076800,378500,476800,60.00,12.00,720,12.00,720,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,431408,111,Brown / sea trout,Salmo trutta,1+,0,0,0,,,,0,0,0,0,0,Completed,No,No,16-09-2008 13:39:26
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER RIBBLE/GAYLE BECK/PTC CAM BECK AT BLACK HILL/,River Ribble,7590,Gayle Beck,GB112071071590,31276,PTC Cam Beck at Black Hill,,,250.00,,11.305,110.010,114450,02-09-1992,1992,SD7850076800,378500,476800,60.00,12.00,720,12.00,720,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,431408,111,Brown / sea trout,Salmo trutta,>1+,1,0,0,,,,1,1,0,1,0,Completed,No,No,16-09-2008 13:39:26
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,"RIVER DERWENT/RIVER GRETA/RIVER GLENDERAMACKIN/1547.07 US BULLFELL BECK, RIVER GLENDERAMACKIN/",River Derwent,5211,River Glenderamackin,GB112075070490,17344,"1547.07 US Bullfell Beck, River Glenderamackin",10,14,252.00,8.75,5.178,63.237,138090,10-08-2012,2012,NY3566830236,335668,530236,48.60,4.30,209,4.30,209,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,572037,111,Brown / sea trout,Salmo trutta,1+,5,,,,,,5,,,,,Completed,No,No,22-08-2013 20:10:19
Environment Agency,England,Midlands West,Midlands,West,Shropshire Herefordshire Worcestershire and Gloucestershire,WYE/LUGG/MARDEN/,Wye,9541,Lugg,GB109055036790,13870,Marden,303,308,55.00,770.48,67.855,116.202,138095,19-08-2013,2013,SO5169247747,351692,247747,120.00,16.20,1944,16.20,1944,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,558885,154,Grayling,Thymallus thymallus,1+,0,0,,,,,0,0,0,0,0,Completed,No,No,23-08-2013 09:13:07
Environment Agency,England,North East North East,Yorkshire and North East,North East,Northumbria,"RIVER TEES/SAP/BT ANNUAL, CLOW BECK - MONK END FARM/",River Tees,3439,River Tees,GB103025072190,3444,"SAP/BT Annual, Clow Beck - Monk End Farm",1007,1058,26.00,852.01,89.928,70.045,143512,15-10-2014,2014,NZ2820010300,428200,510300,100.00,3.20,320,3.20,320,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,610812,154,Grayling,Thymallus thymallus,1+,0,,,,,,0,,,,,Completed,No,No,16-10-2014 15:40:37
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,RIVER KENT/RIVER SPRINT/653.00  SADGILL (LOWER)/,River Kent,5496,River Sprint,GB112073071430,5524,653.00  Sadgill (Lower),1,29,183.00,0.10,0.212,38.549,142684,27-08-2014,2014,NY4835705472,348357,505472,50.00,5.80,290,5.80,290,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,614578,118,Atlantic salmon,Salmo salar,>1+,1,,,,,,1,,,,,Completed,No,No,12-09-2014 14:57:15
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER RIBBLE/RIVER HODDER/RIVER DUNSOP/RIVER WHITENDALE/WHITENDALE RSA/HMWB 2011 ONWARDS/5W/,River Ribble,41353,Whitendale RSA/HMWB 2011 onwards,GB112071065420,41360,5W,,,189.00,,6.423,75.876,143045,02-07-2014,2014,SD6575053645,365750,453645,20.00,7.40,148,7.40,148,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,608746,118,Atlantic salmon,Salmo salar,>1+,0,,,,,,0,,,,,Completed,No,No,25-09-2014 16:03:50
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER DERWENT (YORKSHIRE) TRIBUTARIES/RIVER RYE SYSTEM/RIVER SEVEN/R.SEVEN AT ROSEDALE ABBEY DERBT96/,River Derwent (Yorkshire) tributaries,34714,River Seven,GB104027068630,3852,R.Seven at Rosedale Abbey DERBT96,38,38,130.00,28.73,8.412,152.617,142765,11-09-2014,2014,SE7240095800,472400,495800,50.00,5.00,250,5.00,250,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,608052,111,Brown / sea trout,Salmo trutta,Age?,54,,,,,,54,,,,,Completed,No,No,16-09-2014 10:53:08
Environment Agency,England,Thames South East (Provincial),South East,West Thames,West Thames,RIVER WEY/TILLINGBOURNE/SHALFORD/,River Wey,12660,Tillingbourne,GB106039017840,12679,Shalford,10,12,35.00,36.81,18.044,96.275,141541,03-07-2014,2014,TQ0130947433,501309,147433,100.00,5.02,502,5.02,502,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,590356,114,Rainbow trout,Oncorhynchus mykiss,0+,0,0,,,,,0,0,0,0,0,Completed,No,No,04-07-2014 08:49:27
Environment Agency,England,Thames South East (Provincial),South East,West Thames,West Thames,RIVER WEY/TILLINGBOURNE/SHALFORD/,River Wey,12660,Tillingbourne,GB106039017840,12679,Shalford,10,12,35.00,36.81,18.044,96.275,141541,03-07-2014,2014,TQ0130947433,501309,147433,100.00,5.02,502,5.02,502,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,590356,114,Rainbow trout,Oncorhynchus mykiss,1+,0,0,,,,,0,0,0,0,0,Completed,No,No,04-07-2014 08:49:27
Environment Agency,England,Anglian Central,Anglian,Central,Cambridgeshire and Bedfordshire,CAM CATCHMENT/MEL/D/S MELDRETH STW/,Cam Catchment,38748,Mel,,58943,D/s Meldreth STW,,,,,,,141709,15-07-1992,1992,TL3777946524,537779,246524,175.00,3.00,525,3.00,525,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,592854,111,Brown / sea trout,Salmo trutta,Age?,1,0,,,,,1,1,0,1,0,Completed,No,No,15-07-2014 17:49:25
Environment Agency,England,Southern Solent and South Downs,South East,Solent and South Downs,Solent and South Downs,WESTERN ROTHER/STANBRIDGE/,Western Rother,3370,Western Rother,GB107041012840,5717,Stanbridge,26,36,46.00,57.78,14.378,69.023,142049,23-07-2014,2014,SU7699723154,476997,123154,100.00,6.64,664,6.64,664,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,597323,111,Brown / sea trout,Salmo trutta,1+,0,0,0,,,,0,0,0,0,0,Completed,No,No,01-08-2014 14:17:10
Environment Agency,England,Southern Solent and South Downs,South East,Solent and South Downs,Solent and South Downs,ADUR/ADUR EAST ARM/STAIRBRIDGE LANE/,Adur,17359,Adur East Arm,GB107041012210,7074,Stairbridge Lane,39,40,12.00,39.80,14.100,28.915,145758,05-08-2015,2015,TQ2729220953,527292,120953,100.00,3.56,356,3.56,356,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,631312,111,Brown / sea trout,Salmo trutta,0+,0,0,0,,,,0,0,0,0,0,Completed,No,No,07-08-2015 11:02:04
Environment Agency,England,Thames West,South East,West Thames,West Thames,THAMES/RIVER KENNET/RIVER LAMBOURN/U/S SHAW GAUGING STATION/,Thames,19072,River Lambourn,GB106039023220,42873,U/S Shaw Gauging Station,,,76.00,,22.794,175.929,141465,25-06-2014,2014,SU4703168220,447031,168220,170.00,11.20,1904,11.20,1904,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,591536,111,Brown / sea trout,Salmo trutta,0+,0,0,,,,,0,0,0,0,0,Completed,No,No,30-06-2014 14:13:25
Environment Agency,England,South West Wessex (North - Bridgwater),South West,Wessex,Wessex,SOMERSET AREA/RIVER PARRETT CATCHMENT/RIVER ISLE/MAIN RIVER ISLE/COCKS BRIDGE (TE)/,Somerset Area,14639,Main River Isle,GB108052015190,10327,Cocks Bridge (Te),42,45,22.00,55.86,13.259,56.249,141754,17-07-2014,2014,ST3650316588,336503,116588,100.00,8.00,800,8.00,800,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,593820,111,Brown / sea trout,Salmo trutta,0+,0,0,0,,,,0,0,0,0,0,Completed,No,No,21-07-2014 13:22:38
Environment Agency,England,South West Wessex (North - Bridgwater),South West,Wessex,Wessex,SOMERSET AREA/RIVER PARRETT CATCHMENT/RIVER ISLE/MAIN RIVER ISLE/COCKS BRIDGE (TE)/,Somerset Area,14639,Main River Isle,GB108052015190,10327,Cocks Bridge (Te),42,45,22.00,55.86,13.259,56.249,141754,17-07-2014,2014,ST3650316588,336503,116588,100.00,8.00,800,8.00,800,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,593820,111,Brown / sea trout,Salmo trutta,Age?,8,1,0,,,,9,9,0,1,0,Completed,No,No,21-07-2014 13:22:38
Environment Agency,England,North East North East,Yorkshire and North East,North East,Northumbria,"RIVER TEES/SAP/BT ANNUAL, DEEPDALE BECK - BARNARD CASTLE/",River Tees,3439,River Tees,GB103025072170,3446,"SAP/BT Annual, Deepdale Beck - Barnard Castle",37,754,144.00,35.34,19.530,108.012,143516,13-10-2014,2014,NZ0440016600,404400,516600,100.00,4.70,470,4.70,470,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,610837,111,Brown / sea trout,Salmo trutta,1+,32,,,,,,32,,,,,Completed,No,No,16-10-2014 16:09:28
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,SOUTH LAKES MINOR CATCHMENTS/RUSLAND POOL/866.00 LIN BRIDGE/,South Lakes Minor Catchments,11903,Rusland Pool,GB112073071320,11663,866.00 Lin Bridge,,,,,,,145645,28-07-2015,2015,SD3385589536,333855,489536,44.00,5.40,238,5.40,238,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,635757,111,Brown / sea trout,Salmo trutta,0+,109,,,,,,109,,,,,Completed,No,No,28-07-2015 15:21:59
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,FOWEY/MAIN FOWEY/LOWER LANGDON/,Fowey,8410,Main Fowey,GB108048007650,8412,Lower Langdon,13,14,198.00,22.36,11.585,37.658,141653,10-07-2014,2014,SX2163972539,221639,72539,67.20,5.70,383,5.70,383,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,591686,111,Brown / sea trout,Salmo trutta,1+,12,0,2,,,,14,14,0,1,0,Completed,No,No,11-07-2014 09:01:25
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER LUNE/LECK BECK/NETHER BURROW/,River Lune,8141,Leck Beck,GB112072071690,8142,Nether Burrow,29,884,37.00,27.20,13.182,38.589,78440,08-09-2003,2003,SD6144275564,361442,475564,52.00,10.50,546,10.50,546,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,256217,111,Brown / sea trout,Salmo trutta,Age?,4,8,0,,,,12,13,2,1,0,Completed,No,No,12-11-2003 17:18:58
Environment Agency,England,Midlands West,Midlands,West,Shropshire Herefordshire Worcestershire and Gloucestershire,RIVER SEVERN/SEVERN - CONFL VYRNWY TO BEWDLEY/SEVERN - CONFL VYRNWY TO BEWDLEY (TRIBUTARIES)/REA BROOK (SHROPS)/MEOLE BRACE/,River Severn,991,Rea Brook (Shrops),GB109054049630,1169,Meole Brace,122,1699,56.00,187.23,31.745,196.630,79824,12-05-2004,2004,SJ4910010900,349100,310900,100.00,6.00,600,6.00,600,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,264814,154,Grayling,Thymallus thymallus,>1+,0,0,,,,,0,0,0,0,0,Completed,No,No,17-05-2004 10:11:50
Environment Agency,England,South West Devon and Cornwall (Devon),South West,Devon and Cornwall,Devon and Cornwall,TORRIDGE/RIVER TORRIDGE/MAIN RIVER TORRIDGE/D/S BLACK TORRINGTON BRIDGE DIP/,Torridge,21442,Main River Torridge,GB108050013930,36720,D/s Black Torrington Bridge Dip,,,70.00,,31.563,55.166,152204,19-10-2017,2017,SS4704006080,247040,106080,50.00,11.20,560,11.20,560,ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,672549,118,Atlantic salmon,Salmo salar,Age?,0,,,,,,0,,,,,Completed,No,No,01-11-2017 16:20:46
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,"RIVER KENT/602  SEDGWICK FORD, RIVER KENT/",River Kent,5494,River Kent,GB112073071460,5529,"602  Sedgwick Ford, River Kent",280,306,21.00,214.32,31.805,14.412,6313,26-08-1993,1993,SD5070087200,350700,487200,50.00,20.87,1044,20.87,1044,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,258160,111,Brown / sea trout,Salmo trutta,1+,0,,,,,,0,,,,,Completed,No,No,25-11-2003 18:32:02
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,RIVER KENT/RIVER GOWAN/GOWAN AT ST LEY/,River Kent,5497,River Gowan,GB112073071410,11538,Gowan At St Ley,,,,,,,6352,24-08-1999,1999,SD4720098200,347200,498200,50.00,6.65,333,6.65,333,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,258274,111,Brown / sea trout,Salmo trutta,>1+,0,,,,,,0,,,,,Completed,No,No,25-11-2003 18:32:08
Environment Agency,England,Midlands West,Midlands,West,Shropshire Herefordshire Worcestershire and Gloucestershire,RIVER SEVERN/SEVERN - CONFL VYRNWY TO BEWDLEY/SEVERN - CONFL VYRNWY TO BEWDLEY (TRIBUTARIES)/RIVER TERN/RIVER MEESE/LONCO BRK/WHITLEYFORD BRIDGE/,River Severn,1187,Lonco Brk,GB109054055080,1188,Whitleyford Bridge,13,15,73.00,35.74,12.954,214.722,74549,12-05-1992,1992,SJ7470023900,374700,323900,100.00,4.00,400,4.00,400,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,236598,111,Brown / sea trout,Salmo trutta,>1+,0,0,,,,,0,0,0,0,0,Completed,No,No,17-02-2003 15:03:52
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER RIBBLE/RIVER DOUGLAS/RIVER YARROW/PTC BLACK BROOK (HOGGS LANE)/,River Ribble,4010,River Yarrow,GB112070064951,11078,ptc Black Brook (Hoggs Lane),6,7,76.00,9.45,5.471,34.956,78021,02-09-2003,2003,SD5924516219,359245,416219,75.00,4.70,353,4.70,353,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,254226,111,Brown / sea trout,Salmo trutta,>1+,0,0,,,,,0,0,0,0,0,Completed,No,No,28-10-2003 11:39:30
Environment Agency,England,North West South,North West,South,Greater Manchester Merseyside and Cheshire,MERSEY/RIVER GOYT/RIVER SETT/SE01/,Mersey,6431,River Sett,GB112069060970,6432,SE01,11,11,227.00,6.41,4.587,92.285,77463,25-09-2003,2003,SK0515786746,405157,386746,54.80,4.60,252,4.60,252,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,4,252070,111,Brown / sea trout,Salmo trutta,Age?,0,0,0,0,,,0,0,0,0,0,Completed,No,No,14-10-2003 17:32:16
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER DON CATCHMENT/RIVER DON/SOUGHLEY FARM DON/BT/Q/001/,River Don catchment,3914,River Don,GB104027057500,4035,Soughley Farm DON/BT/Q/001,40,42,250.00,23.03,8.475,148.014,78472,15-08-2003,2003,SE1890002800,418900,402800,100.00,5.00,500,5.00,500,DC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,256413,111,Brown / sea trout,Salmo trutta,1+,0,0,0,,,,0,0,0,0,0,Completed,No,No,14-11-2003 10:48:54
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER AIRE CATCHMENT/RIVER AIRE TRIBUTARIES/RIVER WORTH/D/S PONDEN MILL (WR)/,River Aire catchment,11971,River Worth,GB104027064210,11972,D/S Ponden Mill (WR),1,14,213.00,0.30,0.783,156.860,78859,03-09-2003,2003,SE0070037400,400700,437400,48.50,4.55,221,4.55,221,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,260173,111,Brown / sea trout,Salmo trutta,0+,0,0,0,,,,0,0,0,0,0,Completed,No,No,11-12-2003 15:08:46
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER CALDER CATCHMENT/RIVER CALDER TRIBS/RIVER RYBURN/BAR LANE (U/S BOOTH DEAN CLOUGH) (WR)/,River Calder catchment,11855,River Ryburn,GB104027062540,11990,Bar Lane (u/s Booth Dean Clough) (WR),16,48,158.00,13.66,7.856,160.179,78876,01-09-2003,2003,SE0320018700,403200,418700,50.00,5.15,258,5.15,258,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,260223,114,Rainbow trout,Oncorhynchus mykiss,Age?,1,0,0,,,,1,1,0,1,0,Completed,No,No,12-12-2003 13:41:01
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER RIBBLE/RIVER HODDER/LANGDEN BROOK/U/S SMELT MILL/,River Ribble,4171,Langden Brook,GB112071065370,12290,U/S Smelt Mill,74,75,155.00,19.17,7.306,73.681,79433,02-10-2003,2003,SD6359750987,363597,450987,40.00,7.50,300,7.50,300,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,262611,118,Atlantic salmon,Salmo salar,>1+,0,,,,,,0,,,,,Completed,No,No,20-02-2004 10:39:17
Environment Agency,England,Thames West,South East,West Thames,West Thames,THAMES/UPPER THAMES/RIVER CHURN/RIVER CHURN - PERROT'S BROOK/,Thames,12402,River Churn,GB106039029750,8581,River Churn - Perrot's Brook,17,18,123.00,78.85,17.406,290.015,78518,14-05-2003,2003,SP0220005900,402200,205900,149.00,5.95,887,5.95,887,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,256615,111,Brown / sea trout,Salmo trutta,0+,0,0,0,,,,0,0,0,0,0,Completed,No,No,18-11-2003 12:05:26
Environment Agency,England,Thames West,South East,West Thames,West Thames,THAMES/UPPER THAMES/RIVER CHURN/RIVER CHURN - PERROT'S BROOK/,Thames,12402,River Churn,GB106039029750,8581,River Churn - Perrot's Brook,17,18,123.00,78.85,17.406,290.015,78518,14-05-2003,2003,SP0220005900,402200,205900,149.00,5.95,887,5.95,887,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,256615,111,Brown / sea trout,Salmo trutta,>1+,0,0,0,,,,0,0,0,0,0,Completed,No,No,18-11-2003 12:05:26
Environment Agency,England,Southern Solent and South Downs,South East,Solent and South Downs,Solent and South Downs,NEW FOREST/LYMINGTON/WITHYBED BOTTOM/,New Forest,4268,Lymington,GB107042016720,28702,Withybed Bottom,1,8,62.00,1.35,1.799,21.093,150923,11-07-2017,2017,SU2474209975,424742,109975,100.00,1.84,184,1.84,184,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,665077,111,Brown / sea trout,Salmo trutta,0+,0,,,,,,0,,,,,Completed,No,No,17-07-2017 15:30:01
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,RIVER LEVEN/CUNSEY BECK/305.00 DS EELS HOUSE BRIDGE/,River Leven,5547,Cunsey Beck,GB112073071400,5556,305.00 DS Eels House Bridge,37,37,65.00,18.87,8.813,25.807,6095,29-06-1999,1999,SD3690091400,336900,491400,50.00,5.95,298,5.95,298,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,257630,111,Brown / sea trout,Salmo trutta,Age?,0,,,,,,0,,,,,Completed,No,No,25-11-2003 18:31:30
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER URE/JERVAULX ABBEY (UPPER SITE)/,River Ure,3800,River Ure,GB104027069462,3814,Jervaulx Abbey (upper site),759,760,91.00,494.45,53.527,175.895,24230,27-07-2001,2001,SE1640086200,416400,486200,55.00,30.00,1650,30.00,1650,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,373241,111,Brown / sea trout,Salmo trutta,0+,4,2,0,,,,6,6,0,1,0,Completed,No,No,19-02-2002 13:42:38
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER URE/JERVAULX ABBEY (UPPER SITE)/,River Ure,3800,River Ure,GB104027069462,3814,Jervaulx Abbey (upper site),759,760,91.00,494.45,53.527,175.895,24230,27-07-2001,2001,SE1640086200,416400,486200,55.00,30.00,1650,30.00,1650,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,373241,111,Brown / sea trout,Salmo trutta,Age?,0,0,0,,,,0,0,0,0,0,Completed,No,No,19-02-2002 13:42:38
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER URE/JERVAULX ABBEY (UPPER SITE)/,River Ure,3800,River Ure,GB104027069462,3814,Jervaulx Abbey (upper site),759,760,91.00,494.45,53.527,175.895,24230,27-07-2001,2001,SE1640086200,416400,486200,55.00,30.00,1650,30.00,1650,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,373240,154,Grayling,Thymallus thymallus,Age?,0,0,0,,,,0,0,0,0,0,Completed,No,No,19-02-2002 13:42:38
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,"RIVER EDEN/RIVER EDEN, DOWNSTREAM EAMONT CONFLUENCE/RAVEN BECK/1154.00 LOO GILL, US FORD/",River Eden,22270,Raven Beck,GB102076073840,22752,"1154.00 Loo Gill, US ford",7,9,309.00,4.29,2.181,64.231,102324,29-08-2006,2006,NY6266742774,362667,542774,50.00,2.70,135,2.70,135,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,375439,111,Brown / sea trout,Salmo trutta,>1+,12,,,,,,12,,,,,Completed,No,No,02-11-2006 13:47:30
Environment Agency,England,Midlands West,Midlands,West,Shropshire Herefordshire Worcestershire and Gloucestershire,RIVER SEVERN/SEVERN - BEWDLEY TO CONFL AVON/SEVERN - BEWDLEY TO CONFL AVON (TRIBUTARIES)/RIVER TEME/LEDWYCHE BROOK/LEDWYCHE BRIDGE/,River Severn,1010,Ledwyche Brook,GB109054044490,1382,Ledwyche Bridge,52,594,57.00,89.76,24.744,142.262,101345,13-09-2006,2006,SO5749868645,357498,268645,50.00,4.00,200,4.00,200,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,5,370255,111,Brown / sea trout,Salmo trutta,1+,0,0,0,0,0,,0,0,0,0,0,Completed,No,No,18-09-2006 10:11:11
Environment Agency,England,Southern Solent and South Downs,South East,Solent and South Downs,Solent and South Downs,TEST/BLACKWATER/LANDFORD/,Test,6293,Blackwater,GB107042016820,6294,Landford,18,20,29.00,40.52,6.087,19.960,101352,15-09-2006,2006,SU2583919865,425839,119865,100.00,3.18,318,3.18,318,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,370283,111,Brown / sea trout,Salmo trutta,0+,0,0,0,,,,0,0,0,0,0,Completed,No,No,18-09-2006 11:00:39
Environment Agency,England,North West South,North West,South,Greater Manchester Merseyside and Cheshire,MERSEY/IRWELL/CROAL/RIVER TONGE/EAGLEY BROOK/EA01/,Mersey,6469,Eagley Brook,GB112069064570,6470,EA01,12,17,211.00,8.17,5.503,87.641,101416,21-09-2006,2006,SD6773315789,367733,415789,55.10,3.85,212,3.85,212,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,370706,111,Brown / sea trout,Salmo trutta,0+,23,7,5,,,,35,37,2,1,0,Completed,No,No,21-09-2006 18:26:37
Environment Agency,England,Anglian Eastern (Kelvedon),Anglian,Eastern,Essex Norfolk and Suffolk,STOUR CATCHMENT/RIVER GLEM SUB CATCHMENT/RIVER GLEM/LODGE FARM FORD/,Stour Catchment,661,River Glem,GB105036040970,764,Lodge Farm Ford,9,13,48.00,48.44,11.845,55.203,100060,13-06-2006,2006,TL8090051900,580900,251900,265.00,4.60,1219,4.60,1219,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,362761,111,Brown / sea trout,Salmo trutta,0+,0,0,0,,,,0,0,0,0,0,Completed,No,No,12-07-2006 08:55:24
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,FOWEY/ST NEOT/ST. NEOT/,Fowey,8416,St Neot,GB108048007640,8418,St. Neot,8,9,111.00,18.74,10.363,29.582,102086,10-10-2006,2006,SX1790068000,217900,68000,61.40,5.39,331,5.39,331,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,374391,111,Brown / sea trout,Salmo trutta,0+,26,11,9,,,,46,53,6,0,0,Completed,No,No,25-10-2006 15:14:47
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER RIBBLE/RIVER HODDER/SLAIDBURN GREEN/,River Ribble,4156,River Hodder,GB112071065350,5676,Slaidburn Green,140,141,138.00,70.80,13.637,79.160,153019,02-08-2018,2018,SD7128252239,371282,452239,62.00,10.20,632,10.20,632,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678484,111,Brown / sea trout,Salmo trutta,>1+,0,,,,,,0,,,,,Completed,No,No,10-08-2018 11:04:25
Environment Agency,England,South West Devon and Cornwall (Devon),South West,Devon and Cornwall,Devon and Cornwall,TEIGN/MAIN RIVERTEIGN/SOUTH TEIGN/LEIGH BRIDGE (TE)/,Teign,9160,South Teign,GB108046008510,9244,Leigh Bridge (Te),9,30,182.00,16.97,8.084,48.152,101225,14-07-2006,2006,SX6830087630,268300,87630,50.00,6.13,307,6.13,307,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,369679,111,Brown / sea trout,Salmo trutta,0+,18,5,1,,,,24,24,1,1,0,Completed,No,No,12-09-2006 14:46:19
